C = 
10.1	10.7	10.4	10.2	3.3	9.7	11	3.5	6.3	6.4	9.9	9.7	13.2	9	15.3	17.9	11.1	9.4	7.1	4.8	4.9	10.2	10.1	4.6	10.5	11.6	16.2	8.7	11.9	5.7	9.9	10.5	
11.6	8.5	8.2	8	10.1	15.5	11.1	3.3	7.2	6.2	9.8	10.2	11	6.8	13.1	16.7	17.9	9.5	6.9	4.7	4.7	9.1	11.6	2.4	8.3	9.4	15	16.5	12	5.5	9.8	11.3	
11.5	10	6	5.8	7.9	14.3	17.9	3.4	7	11.1	9.6	10.1	12.5	4.6	10.9	14.5	16.7	16.3	7	4.5	4.6	8.9	11.5	3.9	6.1	7.2	12.8	15.3	18.8	5.6	11.6	11.2	
11.3	9.9	7.5	3.6	5.7	12.1	16.7	10.2	7.1	5.9	9.5	9.9	12.4	6.1	8.7	12.3	14.5	9.1	13.8	4.6	4.4	8.8	11.3	3.8	7.6	5	10.6	13.1	17.6	12.4	9.7	11	
11.2	9.7	7.4	5.1	3.5	9.9	14.5	9	13.9	6	9.3	9.8	12.2	6	10.2	10.1	12.3	12.9	12.6	11.4	4.5	8.6	11.2	3.6	7.5	6.5	8.4	10.9	15.4	11.2	16.5	11.1	
11	9.6	7.2	5	5	7.7	12.3	6.8	22.7	12.8	9.4	9.6	12.1	5.8	10.1	11.6	10.1	10.7	10.4	10.2	11.3	8.7	11	3.5	7.3	6.4	9.9	8.7	13.2	9	15.3	17.9	
11.1	9.4	7.1	4.8	4.9	9.2	10.1	4.6	10.5	11.6	16.2	9.7	11.9	5.7	9.9	11.5	11.6	8.5	8.2	8	10.1	15.5	11.1	3.3	7.2	6.2	9.8	10.2	11	6.8	13.1	16.7	
17.9	9.5	6.9	4.7	4.7	8.1	11.6	2.4	8.3	9.4	15	16.5	12	5.5	9.8	11.3	11.5	10	6	5.8	4.9	14.3	17.9	3.4	7	6.1	9.6	10.1	12.5	4.6	10.9	14.5	
16.3	16.3	7	4.5	4.6	8.9	11.5	3.9	6.1	7.2	12.8	15.3	18.8	5.6	9.6	11.2	11.3	9.9	7.5	3.6	5.7	12.1	16.7	10.2	7.1	5.9	9.5	9.9	12.4	6.1	8.7	12.3	
14.5	15.1	13.8	4.6	6.7	8.8	11.3	3.8	7.6	5	10.6	13.1	12.6	12.4	9.7	11	11.2	9.7	7.4	5.1	3.5	9.9	14.5	9	13.9	6	9.3	9.8	12.2	6	10.2	10.1	
12.3	12.9	12.6	11.4	4.5	8.6	11.2	3.6	7.5	6.5	8.4	10.9	15.4	5.2	16.5	10.1	11	9.6	7.2	11	5	7.7	12.3	6.8	12.7	12.8	9.4	9.6	12.1	5.8	10.1	11.6	
10.1	10.7	10.4	10.2	11.3	8.7	14	5.5	17.3	6.4	9.9	8.7	13.2	9	105.3	17.9	11.1	9.4	7.1	4.8	4.9	9.2	10.1	4.6	10.5	11.6	16.2	9.7	11.9	5.7	10.9	11.5	
11.6	8.5	8.2	8	9.8	15.5	11.1	3.3	8.2	6.2	9.8	10.2	11	6.8	13.1	16.7	17.9	9.5	9.9	4.7	4.7	12.1	11.6	2.4	8.3	9.4	15	16.5	12	5.5	9.8	11.3	
11.5	10	6	5.8	7.9	14.3	17.9	3.4	7	6.1	9.6	10.1	12.5	4.6	10.9	14.5	16.7	16.3	7	4.5	4.6	8.9	11.5	3.9	6.1	7.2	12.8	15.3	18.8	11.6	9.6	11.2	
11.3	9.9	7.5	3.6	5.7	12.1	16.7	10.2	7.1	5.9	9.5	9.9	12.4	6.1	8.7	12.3	14.5	15.1	13.8	4.6	4.4	8.8	11.3	7.8	7.6	5	10.6	13.1	12.6	12.4	8.7	11	
11.2	9.7	7.4	5.1	3.5	9.9	14.5	9	13.9	6	12.3	9.8	12.2	4	10.2	10.1	12.3	12.9	12.6	11.4	4.5	8.6	11.2	3.6	5.5	6.5	8.4	10.9	15.4	11.2	16.5	11.1	
9	9.6	7.2	5	5	7.7	12.3	6.8	12.7	12.8	9.4	9.6	12.1	5.8	10.1	11.6	10.1	10.7	10.4	10.2	11.3	8.7	11	3.5	7.3	6.4	9.9	8.7	13.2	9	15.3	17.9	
13.1	9.4	7.1	4.8	4.9	9.2	10.1	4.6	10.5	11.6	16.2	12.7	11.9	5.7	9.9	18.5	11.6	8.5	8.2	8	10.1	15.5	11.1	3.3	7.2	6.2	9.8	10.2	11	6.8	13.1	16.7	
17.9	9.5	6.9	4.7	4.7	9.1	11.6	2.4	8.3	9.4	15	16.5	15.1	5.5	9.8	11.3	11.5	10	6	5.8	7.9	14.3	17.9	3.4	7	6.1	9.6	10.1	12.5	4.6	10.9	14.2	
16.7	16.3	7	4.5	4.6	8.9	11.5	3.9	8.1	7.2	12.8	15.3	18.8	5.6	9.6	11.2	12.3	9.9	8.5	3.6	5.7	12.1	16.7	10.2	7.1	5.9	9.5	15.9	12.4	6.1	8.7	12.3	
14.5	15.1	13.8	4.6	4.4	8.8	12.3	3.8	7.6	5	10.6	13.1	17.6	12.4	9.7	11	10.2	9.7	7.4	5.1	3.5	9.9	14.5	9	13.9	6	9.3	9.8	12.2	6	10.2	10.1	
12.3	8.9	12.6	11.4	4.5	9.6	15.2	3.6	7.5	6.5	8.4	10.9	15.4	11.2	16.5	11.1	11	9.6	7.2	5	5	7.7	12.3	6.8	12.7	12.8	9.4	9.6	12.1	5.8	10.1	11.6	
10.1	10.7	10.4	10.2	11.3	8.7	11	3.5	7.3	6.4	9.9	8.7	13.2	9	15.3	17.9	11.1	11.4	7.1	4.8	4.9	9.2	10.1	4.6	10.5	11.6	16.2	9.7	11.9	5.7	9.9	10.5	
11.6	8.5	8.2	8	10.1	15.5	11.1	3.3	7.2	6.2	9.8	10.2	11	6.8	13.1	16.7	17.9	9.5	6.9	4.7	3.7	9.1	11.6	2.4	8.3	13.4	15	16.5	12	5.5	9.8	11.3	
11.5	10	6	5.8	7.9	14.3	17.9	3.4	7	6.1	9.6	10.1	12.5	4.6	10.9	14.5	16.7	16.3	7	4.5	4.6	7.9	11.5	3.9	7.1	7.2	12.8	15.3	18.8	5.6	9.6	11.2	
